AFp5 	 -35.77 	 79.59 	 -9.24  
AFp3 	 -27.20 	 83.31 	 -1.94  
AFp1 	 -15.63 	 86.53 	 5.79  
AFp2 	 11.04 	 87.48 	 8.87  
AFp4 	 21.68 	 85.49 	 4.75  
AFp6 	 30.29 	 82.54 	 -6.05  
POO5 	 -39.66 	 -108.82 	 19.22  
POO3 	 -30.03 	 -110.47 	 29.71  
POO1 	 -18.26 	 -110.61 	 36.61  
POO2 	 10.51 	 -110.39 	 40.09  
POO4 	 24.05 	 -108.73 	 35.58  
POO6 	 33.54 	 -109.70 	 23.51  
NFp1h 	 -13.67 	 85.09 	 -31.79  
NFp1 	 -28.15 	 79.52 	 -34.61  
AFp9h 	 -41.41 	 74.19 	 -37.85  
AF9h 	 -52.28 	 65.71 	 -40.51  
AFF9h 	 -62.79 	 51.50 	 -41.25  
F9h 	 -70.40 	 41.15 	 -41.96  
FFT9h 	 -76.50 	 25.94 	 -42.37  
FT9h 	 -79.53 	 12.00 	 -41.44  
FTT9h 	 -80.51 	 -3.49 	 -39.72  
TTP9h 	 -85.51 	 -33.49 	 -36.16  
TP9h 	 -82.19 	 -47.50 	 -33.13  
TPP9h 	 -77.52 	 -61.64 	 -29.01  
P9h 	 -71.48 	 -75.80 	 -26.18  
PPO9h 	 -64.67 	 -86.71 	 -23.19  
PO9h 	 -54.68 	 -98.65 	 -17.50  
POO9h 	 -44.10 	 -108.45 	 -12.75  
OI1 	 -30.41 	 -115.18 	 -8.40  
OI1h 	 -18.91 	 -118.52 	 -3.40  
NFp2h 	 13.70 	 84.67 	 -32.18  
NFp2 	 26.30 	 80.51 	 -32.88  
AFp10h 	 41.54 	 75.52 	 -35.20  
AF10h 	 54.57 	 66.72 	 -35.09  
AFF10h 	 62.80 	 54.04 	 -34.61  
F10h 	 70.50 	 40.77 	 -35.20  
FFT10h 	 76.24 	 27.37 	 -34.35  
FT10h 	 79.50 	 13.78 	 -32.88  
FTT10h 	 81.46 	 -2.83 	 -31.42  
TTP10h 	 86.41 	 -30.43 	 -27.14  
TP10h 	 82.56 	 -45.96 	 -25.35  
TPP10h 	 78.54 	 -58.78 	 -22.69  
P10h 	 73.54 	 -71.84 	 -19.62  
PPO10h 	 66.59 	 -83.86 	 -16.68  
PO10h 	 55.41 	 -97.08 	 -12.68  
POO10h 	 44.90 	 -106.57 	 -8.89  
OI2 	 31.63 	 -113.47 	 -6.46  
OI2h 	 19.84 	 -117.45 	 -1.44  
